adduser	3.134	adduser	3.134
apt	2.6.1	apt	2.6.1
base-files	12.4+deb12u15	base-files	12.4+deb12u15
base-passwd	3.6.1	base-passwd	3.6.1
bash	5.2.15-2+b13	bash	5.2.15-2
bsdutils	1:2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
ca-certificates	20250419~deb12u1	ca-certificates	20250419~deb12u1
coreutils	9.1-1	coreutils	9.1-1
dash	0.5.12-2	dash	0.5.12-2
debconf	1.5.82	debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2	debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1	debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4	diffutils	1:3.8-4
dpkg	1.21.23	dpkg	1.21.23
e2fsprogs	1.47.0-2+b2	e2fsprogs	1.47.0-2
ffmpeg	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
findutils	4.9.0-4	findutils	4.9.0-4
fontconfig	2.14.1-4	fontconfig	2.14.1-4
fontconfig-config	2.14.1-4	fontconfig	2.14.1-4
fonts-dejavu-core	2.37-6	fonts-dejavu	2.37-6
gcc-12-base:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u2	gnupg2	2.2.40-1.1+deb12u2
grep	3.8-5	grep	3.8-5
gzip	1.12-1	gzip	1.12-1
hostname	3.23+nmu1	hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1	init-system-helpers	1.65.2+deb12u1
libacl1:amd64	2.3.1-3	acl	2.3.1-3
libaom3:amd64	3.6.0-1+deb12u3	aom	3.6.0-1+deb12u3
libapt-pkg6.0:amd64	2.6.1	apt	2.6.1
libasound2:amd64	1.2.8-1+b1	alsa-lib	1.2.8-1
libasound2-data	1.2.8-1	alsa-lib	1.2.8-1
libass9:amd64	1:0.17.1-1+deb12u1	libass	1:0.17.1-1+deb12u1
libasyncns0:amd64	0.8-6+b3	libasyncns	0.8-6
